[ 2025-05-31 18:04:35,058 ] 16 root - INFO - Initiate Data Ingestion
[ 2025-05-31 18:04:37,786 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-05-31 18:04:37,786 ] 64 root - INFO - Exited split_data_as_train_test of Data_Ingestion class
[ 2025-05-31 18:04:37,786 ] 68 root - INFO - Exporting train and test file path
[ 2025-05-31 18:04:37,833 ] 78 root - INFO - Train and Test data exported
[ 2025-05-31 18:04:37,833 ] 18 root - INFO - Data Ingestion Completed
[ 2025-05-31 18:04:37,849 ] 22 root - INFO - Initiate Data Validation
[ 2025-05-31 18:04:37,900 ] 35 root - INFO - Required number of columns:2
[ 2025-05-31 18:04:37,900 ] 36 root - INFO - Dataframe has 31
[ 2025-05-31 18:04:37,900 ] 35 root - INFO - Required number of columns:2
[ 2025-05-31 18:04:37,900 ] 36 root - INFO - Dataframe has 31
[ 2025-05-31 18:04:38,040 ] 24 root - INFO - Data Validation Completed
[ 2025-05-31 18:04:38,040 ] 45 root - INFO - Data Transformation Initiated
[ 2025-05-31 18:04:38,040 ] 47 root - INFO - Starting Data Transformation
[ 2025-05-31 18:04:38,068 ] 34 root - INFO - Entered get_data_transformation_object mentod of Transformation class
[ 2025-05-31 18:04:38,068 ] 37 root - INFO - Initialize KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-31 18:04:38,078 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 18:04:38,078 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 18:04:38,078 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 18:04:38,078 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 18:04:38,078 ] 32 root - INFO - Model Training started
[ 2025-05-31 18:07:48,957 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 18:07:48,993 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 18:07:48,993 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 18:07:49,022 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 18:07:49,022 ] 149 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\05_31_2025_18_04_32\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9909109270854373, precision_score=0.9901109989909183, recall_score=0.9917121487770366), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9761316872427983, precision_score=0.9721311475409836, recall_score=0.9801652892561984))
[ 2025-05-31 18:07:49,022 ] 37 root - INFO - Model Training artifact created
