[ 2025-05-26 13:25:04,976 ] 15 root - INFO - Initiate Data Ingestion
[ 2025-05-26 13:25:15,858 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-05-26 13:25:15,858 ] 64 root - INFO - Exited split_data_as_train_test of Data_Ingestion class
[ 2025-05-26 13:25:15,867 ] 68 root - INFO - Exporting train and test file path
[ 2025-05-26 13:25:15,931 ] 78 root - INFO - Train and Test data exported
[ 2025-05-26 13:25:15,931 ] 17 root - INFO - Data Ingestion Completed
[ 2025-05-26 13:25:15,940 ] 21 root - INFO - Initiate Data Validation
[ 2025-05-26 13:25:16,058 ] 35 root - INFO - Required number of columns:2
[ 2025-05-26 13:25:16,067 ] 36 root - INFO - Dataframe has 31
[ 2025-05-26 13:25:16,067 ] 35 root - INFO - Required number of columns:2
[ 2025-05-26 13:25:16,067 ] 36 root - INFO - Dataframe has 31
[ 2025-05-26 13:25:16,231 ] 23 root - INFO - Data Validation Completed
[ 2025-05-26 13:25:16,231 ] 45 root - INFO - Data Transformation Initiated
[ 2025-05-26 13:25:16,231 ] 47 root - INFO - Starting Data Transformation
[ 2025-05-26 13:25:16,260 ] 34 root - INFO - Entered get_data_transformation_object mentod of Transformation class
[ 2025-05-26 13:25:16,260 ] 37 root - INFO - Initialize KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-26 13:25:16,281 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 13:25:16,289 ] 51 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-26 13:25:16,289 ] 47 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-26 13:25:16,292 ] 51 root - INFO - Exited the save_object method of MainUtils class
