[ 2025-05-31 17:57:17,253 ] 16 root - INFO - Initiate Data Ingestion
[ 2025-05-31 17:57:20,685 ] 62 root - INFO - Performed train test split on the dataframe
[ 2025-05-31 17:57:20,685 ] 64 root - INFO - Exited split_data_as_train_test of Data_Ingestion class
[ 2025-05-31 17:57:20,685 ] 68 root - INFO - Exporting train and test file path
[ 2025-05-31 17:57:20,742 ] 78 root - INFO - Train and Test data exported
[ 2025-05-31 17:57:20,742 ] 18 root - INFO - Data Ingestion Completed
[ 2025-05-31 17:57:20,749 ] 22 root - INFO - Initiate Data Validation
[ 2025-05-31 17:57:20,786 ] 35 root - INFO - Required number of columns:2
[ 2025-05-31 17:57:20,801 ] 36 root - INFO - Dataframe has 31
[ 2025-05-31 17:57:20,801 ] 35 root - INFO - Required number of columns:2
[ 2025-05-31 17:57:20,802 ] 36 root - INFO - Dataframe has 31
[ 2025-05-31 17:57:20,942 ] 24 root - INFO - Data Validation Completed
[ 2025-05-31 17:57:20,942 ] 45 root - INFO - Data Transformation Initiated
[ 2025-05-31 17:57:20,942 ] 47 root - INFO - Starting Data Transformation
[ 2025-05-31 17:57:20,966 ] 34 root - INFO - Entered get_data_transformation_object mentod of Transformation class
[ 2025-05-31 17:57:20,966 ] 37 root - INFO - Initialize KNN Imputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-31 17:57:20,978 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 17:57:20,978 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 17:57:20,978 ] 49 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-31 17:57:20,978 ] 53 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-31 17:57:20,978 ] 32 root - INFO - Model Training started
